NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;5.000000;6;36141.723462;96.136131;96.621803;1170;35;1079.531214
8;5;0.000;5.000000;6;33956.645171;96.457527;91.528473;1170;36;1689.629061
9;5;0.000;5.000000;6;32235.708084;96.745522;96.620270;1170;37;1977.464501
10;5;0.000;5.000000;6;30749.092270;96.477058;91.528511;1170;36;2280.100249
11;5;0.000;5.000000;6;29539.463255;96.488106;91.680916;1170;36;2401.705658
12;5;0.000;5.000000;6;28513.518885;96.498482;91.524437;1170;36;2462.669517
13;5;0.000;5.000000;6;27631.684026;96.508308;91.679298;1170;36;2482.084316
14;5;0.000;5.000000;6;26866.321760;96.518608;91.528481;1170;36;2476.021712
15;5;0.000;5.000000;6;26194.942260;96.528267;91.682922;1170;36;2451.928793
16;5;0.000;5.000000;6;25602.083212;96.537056;91.528473;1170;36;2417.077608
17;5;0.000;5.000000;6;25074.023441;96.548271;91.681732;1170;36;2374.136385
18;5;0.000;5.000000;6;24601.255841;96.556793;91.528473;1170;36;2327.637260
19;5;0.000;5.000000;6;24175.033751;96.568138;91.680260;1170;36;2277.671298
20;5;0.000;5.000000;6;23789.291354;96.577110;91.528511;1170;36;2227.331322
