NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
7;4;0.000;5.000000;6;16576.277250;52.827499;49.245045;456
7;4;0.000;6.000000;6;15649.829897;50.212330;50.290630;384
7;4;0.000;7.000000;6;15064.200170;49.735626;56.628860;336
7;4;1.000;8.000000;6;14559.370804;49.729664;56.628826;288
7;4;1.000;9.000000;6;14200.956526;49.735626;56.628860;240
7;4;1.000;10.000000;6;13886.766944;48.295517;52.824184;216
7;4;1.000;11.000000;6;13694.179077;48.212498;35.837379;192
7;4;1.000;12.000000;6;13538.931269;48.629620;38.863049;192
7;4;1.000;13.000000;6;13480.167469;47.406979;35.576664;168
7;4;1.000;14.000000;6;13370.500513;47.518093;35.733566;168
7;4;1.000;15.000000;6;13299.178061;47.796558;37.202072;144
7;4;2.000;16.000000;6;13152.265916;48.630833;38.870117;144
7;4;2.000;17.000000;6;13069.781237;50.299725;38.870117;120
7;4;2.000;18.000000;6;12996.827855;48.684235;40.536541;120
7;4;2.000;19.000000;6;12945.256138;50.299725;42.204231;120
7;4;2.000;20.000000;6;12874.110970;51.696255;44.060474;96
